Sample	Sexe	Poste	Traitment
F_Handle_in_Clean_1	F	Handle_in	Clean
F_Handle_out_Clean_1	F	Handle_out	Clean
F_Handle_Lo_in_Clean_1	F	Handle_Lo_in	Clean
F_Handle_Lo_out_Clean_1	F	Handle_Lo_out	Clean
F_Tap_Clean_1	F	Tap	Clean
H_Handle_in_Clean_1	H	Handle_in	Clean
H_Handle_out_Clean_1	H	Handle_out	Clean
H_Handle_Lo_in_Clean_1	H	Handle_Lo_in	Clean
H_Handle_Lo_out_Clean_1	H	Handle_Lo_out	Clean
H_Tap_Clean_1	H	Tap	Clean
Control_Water_Clean_1	Control	Water	Clean
F_Flush_Clean_1	F	Flush	Clean
H_Flush_Clean_1	H	Flush	Clean
H_Pee_button_Clean_1	H	Pee_button	Clean
F_Seat_Clean_1	F	Seat	Clean
H_Seat_Clean_1	H	Seat	Clean
F_Handle_in_Dirty_1	F	Handle_in	Dirty
F_Handle_out_Dirty_1	F	Handle_out	Dirty
F_Handle_Lo_in_Dirty_1	F	Handle_Lo_in	Dirty
F_Handle_Lo_out_Dirty_1	F	Handle_Lo_out	Dirty
F_Tap_Dirty_1	F	Tap	Dirty
H_Handle_in_Dirty_1	H	Handle_in	Dirty
H_Handle_out_Dirty_1	H	Handle_out	Dirty
H_Handle_Lo_in_Dirty_1	H	Handle_Lo_in	Dirty
H_Handle_Lo_out_Dirty_1	H	Handle_Lo_out	Dirty
H_Tap_Dirty_1	H	Tap	Dirty
Control_Water_Dirty_1	Control	Water	Dirty
F_Flush_Dirty_1	F	Flush	Dirty
H_Flush_Dirty_1	H	Flush	Dirty
H_Pee_button_Dirty_1	H	Pee_button	Dirty
F_Seat_Dirty_1	F	Seat	Dirty
H_Seat_Dirty_1	H	Seat	Dirty
F_Tap_Clean_2	F	Tap	Clean
H_Handle_in_Clean_2	H	Handle_in	Clean
H_Handle_out_Clean_2	H	Handle_out	Clean
H_Tap_Clean_2	H	Tap	Clean
F_Flush_Clean_2	F	Flush	Clean
H_Pee_button_Clean_2	H	Pee_button	Clean
F_Seat_Clean_2	F	Seat	Clean
H_Seat_Clean_2	H	Seat	Clean
F_Handle_in_Dirty_2	F	Handle_in	Dirty
H_Handle_in_Dirty_2	H	Handle_in	Dirty
H_Handle_out_Dirty_2	H	Handle_out	Dirty
H_Handle_Lo_in_Dirty_2	H	Handle_Lo_in	Dirty
H_Tap_Dirty_2	H	Tap	Dirty
F_Flush_Dirty_2	F	Flush	Dirty
H_Flush_Dirty_2	H	Flush	Dirty
F_Seat_Dirty_2	F	Seat	Dirty
H_Seat_Dirty_2	H	Seat	Dirty
F_Handle_in_Clean_2	F	Handle_in	Clean
F_Handle_out_Clean_2	F	Handle_out	Clean
F_Handle_Lo_in_Clean_2	F	Handle_Lo_in	Clean
F_Handle_Lo_out_Clean	F	Handle_Lo_out	Clean
F_Tap_Clean_3	F	Tap	Clean
H_Handle_in_Clean_3	H	Handle_in	Clean
H_Handle_out_Clean_3	H	Handle_out	Clean
H_Handle_Lo_in_Clean_2	H	Handle_Lo_in	Clean
H_Handle_Lo_out_Clean_2	H	Handle_Lo_out	Clean
H_Tap_Clean_3	H	Tap	Clean
Control_Water_Clean_2	Control	Water	Clean
F_Flush_Clean_3	F	Flush	Clean
H_Flush_Clean_2	H	Flush	Clean
H_Pee_button_Clean_3	H	Pee_button	Clean
F_Seat_Clean_3	F	Seat	Clean
H_Seat_Clean_3	H	Seat	Clean
F_Handle_in_Dirty_3	F	Handle_in	Dirty
F_Handle_out_Dirty_2	F	Handle_out	Dirty
F_Handle_Lo_in_Dirty_2	F	Handle_Lo_in	Dirty
F_Handle_Lo_out_Dirty_2	F	Handle_Lo_out	Dirty
F_Tap_Dirty_2	F	Tap	Dirty
H_Handle_in_Dirty_3	H	Handle_in	Dirty
H_Handle_out_Dirty_3	H	Handle_out	Dirty
H_Handle_Lo_in_Dirty_3	H	Handle_Lo_in	Dirty
H_Handle_Lo_out_Dirty_2	H	Handle_Lo_out	Dirty
H_Tap_Dirty_3	H	Tap	Dirty
Control_Water_Dirty_2	Control	Water	Dirty
F_Flush_Dirty_3	F	Flush	Dirty
H_Flush_Dirty_3	H	Flush	Dirty
H_Pee_button_Dirty_2	H	Pee_button	Dirty
F_Seat_Dirty_3	F	Seat	Dirty
H_Seat_Dirty_3	H	Seat	Dirty
